J. A. FENNELLY and D. G. TORR Photon Cross Sections for O, N2, O2, and N
TABLE 1. Photoionization and Photoabsorption Cross Sections for O, N2, O2, and N
See page 331 for Explanation of Tables
Wavelength(Angstrom) | O->       | N2->              | O2->              | N-> |
|    | 4S  2D  2P  4pe  2pe  ION | ABS  N2+  N+  ION | ABS  O2+  O+  ION | ION |
|    |                                x10-18 cm2                               |

619.80 3.75 6.16 3.49 0.00 0.00 13.40 23.09 23.09 0.00 23.09 25.71 23.59 0.97 24.56 13.90
620.00 3.75 6.16 3.48 0.00 0.00 13.40 23.10 23.10 0.00 23.10 24.96 22.89 0.94 23.83 12.10
620.50 3.76 6.17 3.47 0.00 0.00 13.40 23.11 23.11 0.00 23.11 23.10 21.13 0.86 21.99 11.25
621.00 3.77 6.18 3.46 0.00 0.00 13.40 23.13 23.13 0.00 23.13 26.53 24.20 0.98 25.18 10.40
621.90 3.78 6.19 3.43 0.00 0.00 13.40 23.15 23.15 0.00 23.15 32.70 29.70 1.18 30.88 10.67
623.00 3.79 6.20 3.40 0.00 0.00 13.40 23.18 23.18 0.00 23.18 29.57 26.71 1.04 27.75 10.43
624.00 3.81 6.22 3.38 0.00 0.00 13.40 23.21 23.21 0.00 23.21 26.72 24.02 0.92 24.94 12.92
624.50 3.81 6.22 3.36 0.00 0.00 13.40 23.23 23.23 0.00 23.23 25.30 22.68 0.86 23.54 12.71
624.93 3.82 6.23 3.35 0.00 0.00 13.40 23.24 23.24 0.00 23.24 26.06 23.85 0.90 24.75 12.19
625.90 3.83 6.24 3.33 0.00 0.00 13.40 23.27 23.27 0.00 23.27 27.77 25.71 0.95 26.66 11.92
626.60 3.84 6.25 3.31 0.00 0.00 13.40 23.28 23.28 0.00 23.28 29.00 26.91 0.98 27.89 11.78
627.00 3.85 6.26 3.30 0.00 0.00 13.40 23.30 23.30 0.00 23.30 25.72 23.90 0.87 24.77 11.70
628.00 3.86 6.27 3.27 0.00 0.00 13.40 23.32 23.32 0.00 23.32 27.60 25.73 0.91 26.65 11.50
629.00 3.87 6.28 3.24 0.00 0.00 13.40 23.35 23.35 0.00 23.35 30.60 28.63 1.00 29.63 11.33
629.60 3.88 6.29 3.23 0.00 0.00 13.40 23.37 23.37 0.00 23.37 32.40 30.37 1.05 31.42 11.23
629.70 3.88 6.29 3.22 0.00 0.00 13.40 23.37 23.37 0.00 23.37 32.14 30.14 1.04 31.17 11.22
630.00 3.89 6.30 3.22 0.00 0.00 13.40 23.38 23.38 0.00 23.38 31.34 29.43 1.00 30.44 11.17
630.30 3.95 6.29 3.15 0.00 0.00 13.40 23.39 23.39 0.00 23.39 30.55 28.73 0.97 29.70 11.12
631.00 4.11 6.27 3.01 0.00 0.00 13.39 23.41 23.41 0.00 23.41 28.69 27.04 0.94 27.98 11.00
631.60 4.25 6.25 2.89 0.00 0.00 13.38 23.42 23.42 0.00 23.42 27.11 25.58 0.91 26.50 14.60
632.00 4.34 6.24 2.81 0.00 0.00 13.38 23.44 23.44 0.00 23.44 26.05 24.61 0.89 25.50 14.31
633.00 4.56 6.20 2.61 0.00 0.00 13.37 23.46 23.46 0.00 23.46 23.40 22.17 0.84 23.00 13.57
634.00 4.78 6.17 2.40 0.00 0.00 13.36 23.49 23.49 0.00 23.49 29.11 27.65 1.08 28.73 12.84
634.40 4.87 6.16 2.32 0.00 0.00 13.36 23.50 23.50 0.00 23.50 31.40 29.86 1.18 31.04 12.54
634.70 4.94 6.15 2.26 0.00 0.00 13.35 23.51 23.51 0.00 23.51 30.09 28.64 1.15 29.78 12.32
635.00 5.01 6.14 2.20 0.00 0.00 13.35 23.52 23.52 0.00 23.52 28.79 27.43 1.09 28.52 12.10
635.80 5.18 6.12 2.04 0.00 0.00 13.34 23.54 23.54 0.00 23.54 25.30 24.20 0.95 25.15 12.04
636.00 5.23 6.11 2.00 0.00 0.00 13.34 23.55 23.55 0.00 23.55 26.34 25.22 0.98 26.20 12.02
636.30 5.30 6.10 1.94 0.00 0.00 13.34 23.56 23.56 0.00 23.56 27.90 26.75 1.04 27.79 12.00
637.00 5.45 6.08 1.80 0.00 0.00 13.33 23.58 23.58 0.00 23.58 26.08 25.09 0.96 26.05 11.94
637.30 5.52 6.07 1.74 0.00 0.00 13.33 23.58 23.58 0.00 23.58 25.30 24.38 0.92 25.30 11.92
638.00 5.67 6.05 1.60 0.00 0.00 13.32 23.60 23.60 0.00 23.60 27.58 26.43 1.04 27.46 11.86
638.50 5.79 6.03 1.50 0.00 0.00 13.32 23.62 23.62 0.00 23.62 26.17 24.98 1.00 25.99 11.82
638.70 5.83 6.03 1.46 0.00 0.00 13.31 23.62 23.62 0.00 23.62 25.30 24.12 0.98 25.10 11.80
639.00 5.90 6.02 1.40 0.00 0.00 13.31 23.63 23.63 0.00 23.63 25.59 24.34 1.00 25.34 11.78
640.00 6.12 5.99 1.20 0.00 0.00 13.30 23.66 23.66 0.00 23.66 26.57 25.08 1.08 26.15 11.70
640.41 6.01 5.97 1.30 0.00 0.00 13.29 23.67 23.67 0.00 23.67 26.96 25.37 1.11 26.48 11.60
640.93 5.88 5.96 1.43 0.00 0.00 13.27 23.69 23.69 0.00 23.69 27.47 25.75 1.15 26.90 11.47
641.81 5.66 5.94 1.65 0.00 0.00 13.25 23.71 23.71 0.00 23.71 28.33 26.37 1.22 27.59 11.26
642.00 5.61 5.93 1.69 0.00 0.00 13.24 23.72 23.72 0.00 23.72 28.51 26.50 1.24 27.74 11.22
642.50 5.49 5.92 1.82 0.00 0.00 13.23 23.73 23.73 0.00 23.73 29.00 26.85 1.28 28.13 11.09
643.00 5.36 5.90 1.94 0.00 0.00 13.21 23.75 23.75 0.00 23.75 26.59 24.65 1.20 25.84 10.97
644.00 5.11 5.88 2.19 0.00 0.00 13.18 23.78 23.78 0.00 23.78 21.76 20.22 1.02 21.24 10.73
644.20 5.06 5.87 2.24 0.00 0.00 13.17 23.78 23.78 0.00 23.78 20.80 19.34 0.98 20.32 10.68
644.40 5.01 5.87 2.29 0.00 0.00 13.17 23.79 23.79 0.00 23.79 21.93 20.39 1.04 21.43 10.63
645.00 4.87 5.85 2.43 0.00 0.00 13.15 23.81 23.81 0.00 23.81 25.30 23.61 1.19 24.79 10.49
645.90 4.64 5.83 2.65 0.00 0.00 13.12 23.83 23.83 0.00 23.83 24.90 23.20 1.13 24.34 10.27
646.60 4.47 5.81 2.82 0.00 0.00 13.10 23.85 23.85 0.00 23.85 29.45 27.41 1.31 28.72 10.10
646.70 4.45 5.81 2.85 0.00 0.00 13.10 23.85 23.85 0.00 23.85 30.10 28.01 1.33 29.35 10.68
647.00 4.37 5.80 2.92 0.00 0.00 13.09 23.86 23.86 0.00 23.86 29.57 27.51 1.30 28.80 12.41
647.50 4.25 5.79 3.04 0.00 0.00 13.07 23.88 23.88 0.00 23.88 28.68 26.66 1.24 27.89 15.30
648.00 4.13 5.77 3.16 0.00 0.00 13.06 23.89 23.89 0.00 23.89 27.79 25.81 1.18 26.99 14.66
649.00 3.88 5.75 3.40 0.00 0.00 13.03 23.92 23.92 0.00 23.92 26.01 24.12 1.06 25.18 13.38
649.40 3.79 5.74 3.50 0.00 0.00 13.02 23.93 23.93 0.00 23.93 25.30 23.43 1.03 24.47 12.87
650.00 3.64 5.72 3.64 0.00 0.00 13.00 23.95 23.95 0.00 23.95 26.42 24.43 1.08 25.51 12.10
650.30 3.63 5.72 3.64 0.00 0.00 12.99 23.96 23.96 0.00 23.96 26.99 24.93 1.10 26.03 12.10
651.00 3.60 5.72 3.64 0.00 0.00 12.96 23.98 23.98 0.00 23.98 28.30 26.08 1.15 27.23 12.10
651.80 3.57 5.71 3.64 0.00 0.00 12.93 24.00 24.00 0.00 24.00 29.80 27.42 1.18 28.61 12.10
652.00 3.57 5.71 3.64 0.00 0.00 12.92 24.00 24.00 0.00 24.00 29.71 27.37 1.17 28.54 12.10
653.00 3.53 5.71 3.65 0.00 0.00 12.88 24.03 24.03 0.00 24.03 29.29 27.09 1.13 28.22 12.10
654.00 3.49 5.70 3.65 0.00 0.00 12.84 24.05 24.05 0.00 24.05 28.86 26.81 1.08 27.89 12.10
655.00 3.46 5.70 3.65 0.00 0.00 12.80 24.08 24.08 0.00 24.08 28.43 26.53 1.03 27.56 12.10
656.00 3.42 5.69 3.65 0.00 0.00 12.76 24.10 24.10 0.00 24.10 28.00 26.25 0.98 27.23 12.10
657.00 3.38 5.69 3.65 0.00 0.00 12.72 24.13 24.13 0.00 24.13 27.57 25.96 0.94 26.89 12.10
657.30 3.37 5.68 3.65 0.00 0.00 12.71 24.13 24.13 0.00 24.13 27.44 25.87 0.92 26.79 12.10
658.00 3.35 5.68 3.65 0.00 0.00 12.68 24.15 24.15 0.00 24.15 27.14 25.66 0.89 26.56 12.10
659.00 3.31 5.68 3.65 0.00 0.00 12.64 24.18 24.18 0.00 24.18 26.71 25.37 0.85 26.22 12.10
660.00 3.28 5.67 3.65 0.00 0.00 12.60 24.20 24.20 0.00 24.20 26.29 25.07 0.80 25.87 12.10
660.30 3.31 5.65 3.60 0.00 0.00 12.57 24.30 24.30 0.00 24.30 26.16 24.98 0.79 25.77 12.10
661.00 3.40 5.59 3.47 0.00 0.00 12.49 25.22 23.00 0.00 23.00 25.86 24.77 0.76 25.53 12.10
661.40 3.44 5.56 3.40 0.00 0.00 12.44 25.74 23.36 0.00 23.36 25.69 24.65 0.75 25.39 12.10
661.90 3.50 5.53 3.31 0.00 0.00 12.38 26.40 23.80 0.00 23.80 25.47 24.49 0.72 25.22 12.10
663.00 3.63 5.44 3.11 0.00 0.00 12.26 26.69 21.00 0.00 21.00 25.00 23.97 0.67 24.65 12.10
664.00 3.74 5.37 2.94 0.00 0.00 12.15 26.94 24.30 0.00 24.30 24.57 23.50 0.63 24.13 12.10
664.60 3.81 5.32 2.84 0.00 0.00 12.08 27.10 25.20 0.00 25.20 24.31 23.22 0.60 23.83 12.10
664.90 3.84 5.30 2.78 0.00 0.00 12.05 25.60 23.80 0.00 23.80 24.19 23.11 0.59 23.70 12.10
665.30 4.16 5.78 1.93 0.00 0.00 12.00 27.47 25.60 0.00 25.60 24.01 22.96 0.58 23.53 12.10
665.80 4.67 6.58 0.55 0.00 0.00 11.92 27.42 25.60 0.00 25.60 23.80 22.77 0.56 23.32 12.10
666.00 4.87 6.89 0.00 0.00 0.00 11.89 27.40 25.60 0.00 25.60 23.74 22.72 0.55 23.27 12.10
667.00 4.77 6.85 0.00 0.00 0.00 11.72 30.00 28.20 0.00 28.20 23.45 22.47 0.51 22.98 12.10
667.30 4.74 6.83 0.00 0.00 0.00 11.67 40.40 38.10 0.00 38.10 23.37 22.40 0.50 22.90 12.10
668.00 4.66 6.80 0.00 0.00 0.00 11.56 22.40 21.20 0.00 21.20 23.16 22.22 0.48 22.70 12.10
669.00 4.56 6.75 0.00 0.00 0.00 11.39 48.40 46.10 0.00 46.10 22.87 21.97 0.44 22.42 12.10
669.60 4.50 6.72 0.00 0.00 0.00 11.30 32.32 30.86 0.00 30.86 22.70 21.82 0.42 22.25 12.10
670.00 4.46 6.70 0.00 0.00 0.00 11.23 21.60 20.70 0.00 20.70 20.80 20.01 0.38 20.38 12.10
670.40 4.42 6.67 0.00 0.00 0.00 11.16 22.00 21.40 0.00 21.40 21.44 20.63 0.38 21.01 12.10
671.00 4.36 6.64 0.00 0.00 0.00 11.07 28.71 26.40 0.00 26.40 21.23 20.44 0.36 20.80 12.10
671.50 4.31 6.62 0.00 0.00 0.00 10.98 34.30 33.30 0.00 33.30 20.86 20.10 0.34 20.44 12.10
671.90 4.27 6.59 0.00 0.00 0.00 10.92 28.40 27.50 0.00 27.50 20.56 20.23 0.33 20.56 12.10
672.90 4.17 6.54 0.00 0.00 0.00 10.75 23.00 21.40 0.00 21.40 19.82 19.32 0.29 19.61 12.10
673.60 4.10 6.50 0.00 0.00 0.00 10.64 23.00 20.83 0.00 20.83 19.30 18.69 0.27 18.95 12.10
673.80 4.08 6.49 0.00 0.00 0.00 10.61 23.00 20.50 0.00 20.50 19.63 18.97 0.27 19.24 12.10
674.00 4.06 6.48 0.00 0.00 0.00 10.57 30.41 14.80 0.00 14.80 19.96 19.25 0.26 19.52 12.10
674.40 4.02 6.45 0.00 0.00 0.00 10.51 45.24 27.60 0.00 27.60 20.61 19.81 0.26 20.07 12.10
675.00 3.96 6.42 0.00 0.00 0.00 10.41 67.49 28.70 0.00 28.70 21.60 20.64 0.26 20.90 12.10
675.20 3.94 6.41 0.00 0.00 0.00 10.38 74.90 61.40 0.00 61.40 21.17 20.19 0.25 20.44 12.10
675.70 3.90 6.38 0.00 0.00 0.00 10.30 65.77 38.71 0.00 38.71 20.10 19.08 0.22 19.30 12.10
676.00 3.87 6.36 0.00 0.00 0.00 10.25 60.30 25.10 0.00 25.10 21.00 19.99 0.22 20.21 12.10
676.20 3.85 6.35 0.00 0.00 0.00 10.21 56.65 24.08 0.00 24.08 21.60 20.59 0.22 20.82 12.10
676.60 3.81 6.32 0.00 0.00 0.00 10.15 49.35 22.04 0.00 22.04 20.10 19.24 0.20 19.44 12.10
677.00 3.77 6.30 0.00 0.00 0.00 10.08 42.05 20.00 0.00 20.00 21.20 20.36 0.20 20.56 12.10
677.50 3.73 6.27 0.00 0.00 0.00 10.00 32.93 20.85 0.00 20.85 20.52 19.16 0.18 19.33 12.10
677.90 3.82 6.47 0.00 0.00 0.00 10.30 25.62 21.53 0.00 21.53 19.97 18.22 0.16 18.37 12.10
678.30 3.92 6.68 0.00 0.00 0.00 10.60 25.42 22.03 0.00 22.03 19.43 17.95 0.15 18.10 12.10
678.80 3.96 8.04 0.00 0.00 0.00 12.00 28.13 22.58 0.00 22.58 18.75 17.59 0.13 17.73 12.10
679.00 5.48 12.19 0.00 0.00 0.00 17.67 29.21 22.80 0.00 22.80 18.47 17.45 0.13 17.58 12.10
679.20 4.47 10.93 0.00 0.00 0.00 15.40 30.29 19.68 0.00 19.68 18.20 17.30 0.12 17.42 12.10
679.90 4.43 10.09 0.00 0.00 0.00 14.52 34.08 8.76 0.00 8.76 23.80 23.11 0.14 23.26 12.10
680.20 4.41 9.74 0.00 0.00 0.00 14.15 35.70 32.80 0.00 32.80 22.11 21.67 0.13 21.80 12.10
680.40 4.39 9.51 0.00 0.00 0.00 13.90 34.67 31.95 0.00 31.95 20.99 20.69 0.11 20.81 12.10
680.70 4.61 9.68 0.00 0.00 0.00 14.29 33.14 30.67 0.00 30.67 19.30 19.20 0.10 19.30 12.10
681.00 4.83 9.85 0.00 0.00 0.00 14.68 31.60 29.40 0.00 29.40 21.55 20.32 0.10 20.42 12.10
681.30 5.05 10.02 0.00 0.00 0.00 15.07 25.30 23.50 0.00 23.50 22.03 20.84 0.09 20.93 12.10
681.40 5.13 10.07 0.00 0.00 0.00 15.20 32.80 30.49 0.00 30.49 21.90 20.93 0.09 21.02 12.10
681.60 4.93 9.49 0.00 0.00 0.00 14.41 47.80 44.46 0.00 44.46 22.30 21.77 0.09 21.85 12.10
681.70 4.82 9.20 0.00 0.00 0.00 14.02 55.30 51.44 0.00 51.44 21.77 21.13 0.08 21.21 12.10
682.00 4.50 8.34 0.00 0.00 0.00 12.84 77.80 72.40 0.00 72.40 20.19 19.25 0.07 19.32 12.10
682.30 4.16 7.50 0.00 0.00 0.00 11.66 65.57 59.38 0.00 59.38 18.60 17.43 0.05 17.48 12.10
682.80 3.56 6.13 0.00 0.00 0.00 9.69 45.18 37.68 0.00 37.68 21.90 20.97 0.05 21.02 12.10
683.00 3.59 6.06 0.00 0.00 0.00 9.65 37.03 29.00 0.00 29.00 21.02 20.21 0.05 20.26 12.10
683.30 3.60 5.92 0.00 0.00 0.00 9.52 24.80 23.30 0.00 23.30 19.70 19.06 0.04 19.10 12.10
683.80 3.62 5.68 0.00 0.00 0.00 9.29 24.43 22.97 0.00 22.97 17.50 17.11 0.02 17.13 12.10
683.90 3.62 5.63 0.00 0.00 0.00 9.25 24.36 22.90 0.00 22.90 18.38 18.01 0.02 18.03 12.10
684.30 3.88 5.82 0.00 0.00 0.00 9.70 24.07 22.63 0.00 22.63 21.91 21.64 0.01 21.66 12.10
684.50 3.92 6.28 0.00 0.00 0.00 10.20 23.92 22.50 0.00 22.50 23.67 23.48 0.01 23.49 12.10
684.80 4.03 7.17 0.00 0.00 0.00 11.20 23.70 22.30 0.00 22.30 26.32 26.27 0.00 26.27 12.10
684.90 4.58 8.55 0.00 0.00 0.00 13.13 23.70 24.35 0.00 24.35 27.20 27.20 0.00 27.20 12.10
685.50 6.94 17.74 0.00 0.00 0.00 24.68 23.70 23.96 0.00 23.96 21.95 21.95 0.00 21.95 11.96
685.71 6.94 18.55 0.00 0.00 0.00 25.49 23.70 22.94 0.00 22.94 20.11 20.11 0.00 20.11 11.90
686.00 6.28 16.29 0.00 0.00 0.00 22.56 23.70 22.50 0.00 22.50 17.57 17.34 0.00 17.34 11.82
686.30 5.55 13.98 0.00 0.00 0.00 19.54 23.70 22.50 0.00 22.50 19.54 18.99 0.00 18.99 11.74
686.60 4.79 11.72 0.00 0.00 0.00 16.51 23.69 21.71 0.00 21.71 23.80 22.85 0.00 22.85 11.65
686.70 4.53 10.97 0.00 0.00 0.00 15.50 23.68 21.45 0.00 21.45 23.25 22.22 0.00 22.22 11.62
687.00 3.98 9.37 0.00 0.00 0.00 13.35 23.67 20.67 0.00 20.67 21.62 20.35 0.00 20.35 11.54
687.30 3.41 7.79 0.00 0.00 0.00 11.20 23.65 19.88 0.00 19.88 19.98 18.53 0.00 18.53 11.46
687.90 3.95 8.52 0.00 0.00 0.00 12.48 23.62 18.31 0.00 18.31 16.70 15.03 0.00 15.03 11.29
688.40 4.06 8.35 0.00 0.00 0.00 12.41 23.60 17.00 0.00 17.00 19.26 16.98 0.00 16.98 11.15
688.70 3.97 7.95 0.00 0.00 0.00 11.92 23.60 16.40 0.00 16.40 20.80 18.10 0.00 18.10 11.06
689.00 3.88 7.56 0.00 0.00 0.00 11.43 23.60 15.80 0.00 15.80 17.50 15.75 0.00 15.75 10.98
690.00 3.52 6.28 0.00 0.00 0.00 9.80 23.33 13.70 0.00 13.70 25.04 23.46 0.00 23.46 10.70
690.60 3.52 5.95 0.00 0.00 0.00 9.47 23.16 9.08 0.00 9.08 22.63 21.08 0.00 21.08 10.28
690.80 3.56 5.92 0.00 0.00 0.00 9.48 23.11 7.54 0.00 7.54 21.27 19.75 0.00 19.75 10.14
691.00 3.60 5.88 0.00 0.00 0.00 9.48 23.05 6.00 0.00 6.00 19.92 18.43 0.00 18.43 10.00
691.20 3.64 5.85 0.00 0.00 0.00 9.49 23.00 12.20 0.00 12.20 18.57 17.12 0.00 17.12 11.28
691.40 3.68 5.81 0.00 0.00 0.00 9.49 23.00 17.90 0.00 17.90 19.42 17.83 0.00 17.83 12.56
692.00 3.80 5.70 0.00 0.00 0.00 9.51 23.80 18.10 0.00 18.10 28.53 25.88 0.00 25.88 16.41
692.20 3.81 5.70 0.00 0.00 0.00 9.51 24.07 18.43 0.00 18.43 31.56 28.52 0.00 28.52 17.69
692.40 3.85 5.72 0.00 0.00 0.00 9.57 25.13 20.03 0.00 20.03 34.60 31.14 0.00 31.14 18.98
692.70 3.84 5.67 0.00 0.00 0.00 9.51 27.91 24.31 0.00 24.31 31.53 28.49 0.00 28.49 20.90
693.00 3.79 5.57 0.00 0.00 0.00 9.37 30.69 28.60 0.00 28.60 28.45 25.82 0.00 25.82 20.20
693.80 3.68 5.32 0.00 0.00 0.00 9.00 38.10 35.72 0.00 35.72 20.25 18.58 0.00 18.58 18.32
694.00 3.69 5.31 0.00 0.00 0.00 9.01 39.96 37.50 0.00 37.50 18.20 16.74 0.00 16.74 17.85
694.30 3.71 5.31 0.00 0.00 0.00 9.02 42.74 46.59 0.00 46.59 21.27 19.49 0.00 19.49 17.14
694.90 3.75 5.30 0.00 0.00 0.00 9.04 48.30 64.77 0.00 64.77 27.43 24.92 0.00 24.92 15.73
695.20 3.77 5.29 0.00 0.00 0.00 9.06 76.10 62.98 0.00 62.98 30.50 27.60 0.00 27.60 15.42
696.00 3.74 5.17 0.00 0.00 0.00 8.91 61.30 43.70 0.00 43.70 19.30 17.27 0.00 17.27 15.10
696.50 3.96 4.84 0.00 0.00 0.00 8.80 52.05 32.90 0.00 32.90 23.61 20.98 0.00 20.98 14.90
697.00 3.24 6.12 0.00 0.00 0.00 9.36 42.80 22.10 0.00 22.10 27.92 24.64 0.00 24.64 14.70
697.30 2.75 6.95 0.00 0.00 0.00 9.70 37.25 22.25 0.00 22.25 30.50 26.80 0.00 26.80 14.58
697.50 9.67 30.33 0.00 0.00 0.00 40.00 33.55 22.35 0.00 22.35 31.05 27.21 0.00 27.21 14.50
697.70 7.42 29.67 0.00 0.00 0.00 37.09 29.85 22.45 0.00 22.45 31.60 27.61 0.00 27.61 14.42
698.00 7.65 25.06 0.00 0.00 0.00 32.71 24.30 22.60 0.00 22.60 33.10 28.80 0.00 28.80 14.30
698.30 7.59 20.75 0.00 0.00 0.00 28.34 23.83 22.51 0.00 22.51 34.60 29.97 0.00 29.97 14.18
698.90 6.58 13.02 0.00 0.00 0.00 19.60 22.89 22.33 0.00 22.33 29.43 25.27 0.00 25.27 13.94
699.40 6.34 9.83 0.00 0.00 0.00 16.17 22.10 20.80 0.00 20.80 25.12 21.42 0.00 21.42 13.74
699.60 6.14 8.66 0.00 0.00 0.00 14.79 22.10 20.80 0.00 20.80 23.40 19.89 0.00 19.89 13.66
699.70 6.01 8.10 0.00 0.00 0.00 14.11 22.10 20.80 0.00 20.80 24.37 20.71 0.00 20.71 13.62
700.00 5.54 6.51 0.00 0.00 0.00 12.05 23.80 22.40 0.00 22.40 27.27 23.18 0.00 23.18 13.50
700.30 4.56 5.42 0.00 0.00 0.00 9.99 22.10 20.80 0.00 20.80 30.17 25.64 0.00 25.64 13.48
700.40 4.24 5.06 0.00 0.00 0.00 9.30 22.59 21.27 0.00 21.27 31.13 26.46 0.00 26.46 13.47
700.80 3.82 4.63 0.00 0.00 0.00 8.45 24.53 23.16 0.00 23.16 35.00 29.75 0.00 29.75 13.44
701.00 3.61 4.41 0.00 0.00 0.00 8.03 25.50 24.10 0.00 24.10 31.00 26.35 0.00 26.35 13.43
701.20 3.40 4.20 0.00 0.00 0.00 7.60 26.42 25.00 0.00 25.00 27.00 22.95 0.00 22.95 13.42
701.60 5.24 6.56 0.00 0.00 0.00 11.80 28.26 26.80 0.00 26.80 19.00 16.15 0.00 16.15 13.39
701.80 6.14 7.76 0.00 0.00 0.00 13.90 29.18 27.70 0.00 27.70 20.33 17.28 0.00 17.28 13.37
702.00 5.98 7.61 0.00 0.00 0.00 13.59 30.10 28.60 0.00 28.60 21.67 18.42 0.00 18.42 13.36
703.00 5.17 6.85 0.00 0.00 0.00 12.02 28.30 27.10 0.00 27.10 28.33 24.08 0.00 24.08 13.29
703.36 4.89 6.57 0.00 0.00 0.00 11.46 26.54 25.48 0.00 25.48 27.44 23.75 0.00 23.75 13.26
703.60 4.70 6.38 0.00 0.00 0.00 11.08 25.36 24.40 0.00 24.40 26.00 22.88 0.00 22.88 13.25
704.00 4.39 6.06 0.00 0.00 0.00 10.46 23.40 22.60 0.00 22.60 34.75 31.20 0.00 31.20 13.22
704.50 4.15 5.84 0.00 0.00 0.00 9.99 25.80 25.00 0.00 25.00 45.69 42.04 0.00 42.04 13.19
705.00 3.94 5.66 0.00 0.00 0.00 9.60 25.79 22.30 0.00 22.30 56.64 48.92 0.00 48.92 13.15
705.30 3.96 5.67 0.00 0.00 0.00 9.64 25.79 21.91 0.00 21.91 63.20 52.46 0.00 52.46 13.13
705.90 4.02 5.69 0.00 0.00 0.00 9.71 25.78 21.13 0.00 21.13 45.52 38.20 0.00 38.20 13.09
706.60 4.07 5.71 0.00 0.00 0.00 9.78 25.78 20.16 0.00 20.16 24.90 21.17 0.00 21.17 13.04
707.00 4.10 5.72 0.00 0.00 0.00 9.82 25.77 19.60 0.00 19.60 25.36 21.64 0.00 21.64 13.01
707.60 4.15 5.73 0.00 0.00 0.00 9.88 25.77 19.24 0.00 19.24 26.05 22.35 0.00 22.35 12.97
707.90 4.15 5.70 0.00 0.00 0.00 9.85 25.76 19.06 0.00 19.06 26.40 22.70 0.00 22.70 12.95
708.90 4.15 5.60 0.00 0.00 0.00 9.74 25.75 18.19 0.00 18.19 25.70 21.85 0.00 21.85 12.88
709.20 4.14 5.57 0.00 0.00 0.00 9.71 25.75 18.04 0.00 18.04 26.53 22.48 0.00 22.48 12.86
709.70 4.01 5.35 0.00 0.00 0.00 9.36 25.74 17.89 0.00 17.89 25.70 21.65 0.00 21.65 12.82
710.00 3.93 5.22 0.00 0.00 0.00 9.15 25.74 17.80 0.00 17.80 29.39 24.68 0.00 24.68 12.80
710.80 4.03 5.27 0.00 0.00 0.00 9.30 25.73 17.96 0.00 17.96 39.24 32.64 0.00 32.64 12.74
711.00 4.03 5.26 0.00 0.00 0.00 9.30 25.73 18.00 0.00 18.00 41.70 34.61 0.00 34.61 12.73
711.90 4.06 5.22 0.00 0.00 0.00 9.27 25.72 18.00 0.00 18.00 32.40 25.60 0.00 25.60 12.67
712.50 4.07 5.19 0.00 0.00 0.00 9.26 25.71 17.30 0.00 17.30 35.70 28.85 0.00 28.85 12.63
712.70 4.08 5.17 0.00 0.00 0.00 9.25 25.71 17.02 0.00 17.02 36.80 29.96 0.00 29.96 12.61
712.90 4.08 5.16 0.00 0.00 0.00 9.24 25.71 16.74 0.00 16.74 37.90 31.08 0.00 31.08 12.60
713.50 4.09 5.12 0.00 0.00 0.00 9.21 25.70 15.40 0.00 15.40 35.28 29.12 0.00 29.12 12.56
713.90 4.10 5.09 0.00 0.00 0.00 9.19 25.70 14.44 0.00 14.44 33.54 27.80 0.00 27.80 12.53
714.70 4.13 5.07 0.00 0.00 0.00 9.20 20.57 7.41 0.00 7.41 35.00 29.40 0.00 29.40 12.47
715.00 4.15 5.07 0.00 0.00 0.00 9.21 18.55 4.50 0.00 4.50 33.62 28.00 0.00 28.00 12.45
715.60 4.18 5.06 0.00 0.00 0.00 9.24 14.50 3.60 0.00 3.60 30.85 25.27 0.00 25.27 12.41
715.70 4.18 5.06 0.00 0.00 0.00 9.24 14.94 3.45 0.00 3.45 30.38 24.82 0.00 24.82 12.40
716.00 4.16 5.01 0.00 0.00 0.00 9.17 16.26 3.00 0.00 3.00 29.00 23.49 0.00 23.49 12.38
716.50 4.13 4.92 0.00 0.00 0.00 9.05 18.46 6.75 0.00 6.75 30.50 25.01 0.00 25.01 12.35
717.00 4.09 4.84 0.00 0.00 0.00 8.93 20.66 10.50 0.00 10.50 28.36 21.43 0.00 21.43 12.31
717.20 4.08 4.81 0.00 0.00 0.00 8.88 21.54 10.60 0.00 10.60 27.50 20.08 0.00 20.08 12.30
717.60 4.05 4.74 0.00 0.00 0.00 8.79 23.30 10.80 0.00 10.80 29.80 25.93 0.00 25.93 12.27
718.00 4.09 4.76 0.00 0.00 0.00 8.84 25.06 11.00 0.00 11.00 28.71 24.75 0.00 24.75 12.24
718.50 4.13 4.77 0.00 0.00 0.00 8.91 23.20 17.55 0.00 17.55 27.35 23.02 0.00 23.02 12.20
719.00 4.18 4.79 0.00 0.00 0.00 8.97 27.40 24.10 0.00 24.10 25.99 21.27 0.00 21.27 12.17
719.20 4.20 4.80 0.00 0.00 0.00 9.00 27.05 22.08 0.00 22.08 25.44 20.59 0.00 20.59 12.16
719.40 4.21 4.79 0.00 0.00 0.00 9.00 26.71 20.06 0.00 20.06 24.90 19.92 0.00 19.92 12.14
720.00 4.23 4.77 0.00 0.00 0.00 9.00 25.66 14.00 0.00 14.00 30.48 24.67 0.00 24.67 12.10
